,Match,ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax,ParasiteCorrectedName.updated,close,nonclose,vector,intermediate,ParasiteReportedName,HasBinomialName,NameObservations,FLAG,NameID,NameCitation,ParType,ParPhylum,ParClass,ParOrder,ParFamily,StrainorSubsps
1,Acanthocephalus anguillae,Acanthocephalus anguillae,NA,0,,-1,3,-1,1,,VR,42765,,,,0,Acanthocephalus anguillae      ,1410,Acanthocephalus anguillae      ,57,,Kennedy and Moriarty 1987,,VR,42765,,,,0,0,1,No,,,,Acanthocephalus anguillae,0,0,0,1,Acanthocephalus anguillae,yes,valid name in NCBI,,NCBI 185726,,Helminth,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,
2,Acanthocephalus ranae,Acanthocephalus ranae,NA,0,,-1,3,-1,2,,VR,42765,,,,0,Acanthocephalus ranae      ,431,Acanthocephalus ranae      ,23,,"Heckmann et al., 2011",,VR,42765,,,,0,0,1,No,,,,Acanthocephalus ranae,0,0,0,1,Acanthocephalus ranae,yes,valid name in papers,,Schrank 1788,"Schrank, F. v. P.: Verzeichnis der bisher hinl?nglich bekannten EingeweidewÅrmer, nebst einer Abhandlung Åber ihre Anverwandtschaften, 116 S. MÅnchen 1788.",Helminth,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,
3,Acanthocheilonema dracunculoides,Acanthocheilonema dracunculoides,NA,0,,-1,1,-1,2,,VR,42765,,,,,Acanthocheilonema dracunculoides      ,217,Acanthocheilonema dracunculoides      ,13,H: dog,"Casiraghi et al., 2006",,VR,42765,,,,0,0,1,No,,,,Acanthocheilonema dracunculoides,0,0,0,1,Acanthocheilonema dracunculoides,yes,valid name in NCBI,,NCBI 328821,,Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
4,Acanthocheilonema procyonis,Acanthocheilonema procyonis,NA,0,,-1,1,-1,3,,VR,42765,,,,,Acanthocheilonema procyonis      ,52,Acanthocheilonema procyonis      ,2,H: Raccoons ,"Rabinowitz et al., 1985",,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema procyonis,0,0,1,1,Dipetalonema procyonis,yes,"valid name in GBIF, Acanthocheilonema was a subgneus in some notations",,GBIF ID 7029663,"Smith, J. (1980). Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the Raccoon.?The Journal of Parasitology,?66(2), 333-336. doi:1. Retrieved from http://www.jstor.org/stable/3280828",Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
8,Acanthocheilonema reconditum,Acanthocheilonema reconditum,NA,0,,2,1,-1,2,,VR,42765,,,,,Acanthocheilonema reconditum      ,404,Acanthocheilonema reconditum      ,39,H: Fox to Dog,"Brianti et al., 2012",NEED,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema reconditum,0,0,0,1,Acanthocheilonema reconditum,yes,valid name in NCBI,,NCBI 114234,,Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
9,Acanthocheilonema spirocauda,Dipetalonema spirocauda,NA,0,,-1,3,-1,2,,VR,42720,,,,,Dipetalonema spirocauda      ,137,Dipetalonema spirocauda      ,9,harbor seals,Dunn and Wolke 1976,,VR,42720,,,,NA,0,0,Yes,"Smith, Jeffery L. ""Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the raccoon."" The Journal of parasitology(1980): 333-336.",Acanthocheilonema spirocauda,Acanthocheilonema spirocauda,Acanthocheilonema spirocauda,0,0,1,1,Dipetalonema spirocauda,yes,"invalid genus, this name is valid in NCBI",,NCBI 1285935,"Papadopoulos, E., Loukopoulos, P., Komnenou, A., Androukaki, E., & Karamanlidis, A. A. (2010). First report of Acanthocheilonema spirocauda in the Mediterranean monk seal (Monachus monachus).?Journal of wildlife diseases,?46(2), 570-573.",Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
25,Aelurostrongylus abstrusus,Aelurostrongylus abstrusus,NA,0,,-1,2,-1,1,,VR,42765,,,,,Aelurostrongylus abstrusus      ,1110,Aelurostrongylus abstrusus      ,162,H: Cat,"Taubert et al., 2009",,Vr,42765,,,,1,0,1,No,,,,Aelurostrongylus abstrusus,0,0,0,1,Aelurostrongylus abstusus,yes,valid name in NCBI,,NCBI 321389,,Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
27,Aelurostrongylus falciformis,Aelurostrongylus falciformis,NA,0,,-1,1,-1,3,,VR,42765,,,,,Aelurostrongylus falciformis      ,58,Aelurostrongylus falciformis      ,1,H: Badger,"Davidson et al., 2006",,VR,42765,,,,1,0,1,No,,,,Aelurostrongylus falciformis,0,0,0,1,Aelurostrongylus falciformis,yes,valid name in papers,,Al-Sabi et al. 2010,"Al-Sabi, M. N., Deplazes, P., Webster, P., Willesen, J. L., Davidson, R. K., & Kapel, C. M. (2010). PCR detection of Angiostrongylus vasorum in faecal samples of dogs and foxes. Parasitology research, 107(1), 135-140.",Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
28,Aelurostrongylus pridhami,Aelurostrongylus pridhami,NA,0,,-1,2,-1,3,,VR,42765,,,,,Aelurostrongylus pridhami      ,45,Aelurostrongylus pridhami      ,3,H: badger,"Davidson et al., 2006",,VR,42765,,,,1,0,1,No,,,,Aelurostrongylus pridhami,0,0,0,1,Aelurostrongylus pridhami,yes,valid name in papers,,Torres et al. 2001,"Torres, J., Miquel, J., & Motj?, M. (2001). Helminth parasites of the eurasian badger (Meles meles L.) in Spain: a biogeographic approach. Parasitology Research, 87(4), 259-263.",Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
31,Agriostomum cursoni,Agriostomum cursoni,NA,0,,-1,3,-1,3,,VR,42762,,,,,Agriostomum cursoni      ,11,Agriostomum cursoni      ,0,,"Reinecke et al., 1988",,VR,42762,,,,1,0,1,No,,,,Agriostomum cursoni,0,1,0,0,Agriostomum cursoni,yes,valid name in GBIF,,GBIF ID 7034507,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
32,Agriostomum equidentatum,Agriostomum equidentatum,NA,0,,,,-1,3,,VR,42762,,,,,Agriostomum equidentatum      ,26,Agriostomum equidentatum      ,0,,Horak 1981,,VR,42762,,,,1,0,1,No,,,,Agriostomum equidentatum,0,1,0,0,Agriostomum equidentatum,yes,valid name in GBIF,,GBIF ID 7034506,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
33,Agriostomum gorgonis,Agriostomum gorgonis,NA,0,,,,-1,3,,VR,42762,,,,,Agriostomum gorgonis      ,36,Agriostomum gorgonis      ,1,hook worm; wildebeast,"Horak et al., 1983",,VR,42762,,,,1,0,1,No,,,,Agriostomum gorgonis,0,1,0,0,Agriostomum gorgonis,yes,valid name in GBIF,,GBIF ID 7034508,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
35,Alaria alata,Alaria alata,NA,0,,0,1,1,1,,VR,42762,,,,,Alaria alata      ,2510,Alaria alata      ,77,Host: Human Cat Dog Pig Snail Vehicle:crustaceans,"Riehn et al., 2010",,VR,42762,,,,0,0,1,No,,,,Alaria alata,0,1,0,1,Alaria alata,yes,valid name in NCBI,,NCBI 138590,,Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
